BI01.1;1;2.;;
BI01.2;1;2.;;
BI01.3;1;3.;;
BI01.4;1;4.;;
BI02.1;5;1. ;;
BI02.2;2;1. ;;
BI02.3;1;5.;;
BI02.4;4;5.;;
BI02.5;3;5.;;
BI03.1;4;2.;;
BI03.2;3;2.;;
BI03.3;6;2.;;
BI04.1;3;3.;;
BI04.2;2;3.;;
BI04.3;4;4.;;
BI05.1;2;5.;;
BI05.2;4;5.;;
BI06.1;8;5.;;
BI11.1;4;1. ;;
BI11.2;2;1. ;;
BI13.1;7;1. ;;
EAB31.1;7;3.;;
EAB32.1;5;4.;;
EAB33.1;6;5.;;
EAB34.1;6;1. ;;
EAB35.1;1;4.;;
EAB36.1;2;5.;;
ENA01.1;7;1. ;;
ENA01.2;7;1. ;;
ENA01.3;2;2.;;
ENA01.4;2;2.;;
ENA02.1;1;3.;;
ENA02.2;7;3.;;
ENA02.3;1;4.;;
ENA02.4;2;4.;;
ENA03.1;4;4.;;
ENA03.2;6;4.;;
ENA03.3;2;5.;;
ENA03.4;5;5.;;
ENA04.1;1;2.;;
ENA04.2;2;2.;;
ENA04.3;3;2.;;
ENA04.4;4;2.;;
ENA05.1;1;3.;;
ENA05.2;3;3.;;
ENA05.3;4;3.;;
ENA05.4;6;3.;;
ENA06.1;1;4.;;
ENA06.2;2;4.;;
ENA06.3;5;4.;;
ENA06.4;4;4.;;
ENA07.1;6;5.;;
ENA07.2;7;5.;;
ENA07.3;4;5.;;
ENA07.4;5;2.;;
ENA07.5;5;5.;;
ENA08.1;2;5.;;
ENA08.2;3;3.;;
ENA09.1;6;1. ;;
ENA09.2;1;1. ;;
ENA11.1;3;1. ;;
ENA11.2;4;1. ;;
ENA11.3;5;1. ;;
ENA11.4;5;3.;;
ESA01.1;1;3.;;
ESA02.1;4;4.;;
ESA03.1;1;5.;;
ESA04.1;3;1. ;;
ESA05.1;4;2.;;
ESA06.1;3;4.;;
ET01.1;5;2.;;
ET02.1;1;5.;;
FI01.1;4;1. ;;
FI01.2;5;2.;;
FI01.3;5;3.;;
FI01.4;5;4.;;
FI02.1;1;2.;;
FI02.2;5;4.;;
FI02.3;6;3.;;
FI02.4;4;5.;;
FI03.1;2;2.;;
FI04.1;4;3.;;
FY01.1;7;2.;;
FY01.2;7;2.;;
FY01.3;3;3.;;
FY01.4;7;3.;;
FY02.1;1;4.;;
FY02.2;7;4.;;
FY02.3;3;4.;;
FY03.1;3;4.;;
FY03.2;2;5.;;
FY03.3;5;5.;;
FY04.1;2;5.;;
FY04.2;4;5.;;
FY04.3;6;5.;;
FY05.1;1;1. ;;
FY05.2;5;1. ;;
FY06.1;7;1. ;;
FY06.2;3;1. ;;
FY07.1;6;2.;;
FY07.2;4;2.;;
FY09.1;2;3.;;
FY09.2;6;3.;;
FY10.1;2;2;;
GE01.1;4;1. ;;
GE01.2;3;3.;;
GE01.3;1;4.;;
GE01.4;2;4.;;
GE02.1;5;2.;;
GE02.2;;;;
GE03.1;3;5.;;
GE04.1;7;2.;;
GE05.1;;;;
GE11.1;1;3.;;
HI01.1;5;1. ;;
HI01.2;3;1. ;;
HI01.3;5;4.;;
HI01.4;3;4.;;
HI02.1;1;1. ;;
HI02.2;4;2.;;
HI02.3;4;3.;;
HI02.4;5;4.;;
HI03.1;7;2.;;
HI03.2;2;3.;;
HI03.3;1;4.;;
HI03.4;1;5.;;
HI04.1;1;2.;;
HI05.1;5;2.;;
HI06.1;2;2.;;
HI08.1;;;;
HI12.1;;;;
HI15.1;8;1. ;;
HI16.1;;;;
HI16.2;2;3.;;
INT04.1;6;2.;;
INT07.1;8;4.;;
INT09.1;8;4.;;
INT10.1;;;;
INT13.1;8;2.;;
INT15.1;8;3.;;
IT3.1;8;2.;;
KE01.1;3;2.;;
KE01.2;3;2.;;
KE01.3;4;3.;;
KE01.4;4;3.;;
KE02.1;5;4.;;
KE02.2;4;4.;;
KE02.3;6;4.;;
KE03.1;5;5.;;
KE03.2;6;5.;;
KE03.3;7;5.;;
KE04.1;1;1. ;;
KE04.2;5;1. ;;
KE04.3;4;1. ;;
KE05.1;7;2.;;
KE05.2;4;2.;;
KE05.3;1;2.;;
KE07.1;2;1;;
KE08.1;1;1. ;;
KE08.2;1;3.;;
KE08.3;2;3.;;
KE09.1;;;;
KU01.1;2;1;;
KU01.2;5;1;;
KU01.3;1;2;;
KU01.4;1;2;;
KU02.1;2;4;;
KU02.2;2;4;;
KU02.3;1;2.;;
KU03.1;;;;
KU04.1;5;5.;;
KU06.1;;;;
KU08.1;3;5.;;
KU09.1;6;1. ;;
LAB31.1;;;;
LAB32.1;;;;
LI01.1;1;1;LI01.2;
LI01.2;1;2;LI01.1;
LI01.3;1;1;;
LI01.4;4;1;LI01.5;
LI01.5;2;2;LI01.4;
LI02.1;2;4;LI02.2;
LI02.2;1;5;LI02.1;
LI02.3;2;4;;
LI02.4;3;4;;
LI03.1;1;4;;
LI03.2;1;4;;
LI04.1;8;3.;;
LI05.1;4;1;;
LI06.1;5;3.;;
LI06.2;5;3.;;
LI06.3;5;3.;;
LI06.4;5;3.;;
LI07.1;;;;
LI07.2;;;;
LI08.1;;;;
LI08.2;;;;
LI09.1;;;;
LI09.2;;;;
LI10.1;4;1;LI10.2;
LI10.2;2;2;LI10.1;
LI11.1;3;3.;;
LI11.2;3;3.;;
LI12.1;1;4;;
LI12.2;3;4. - 5.jakso;;
LI13.1;7;2.;;
LI13.2;;;;
MAA02.1;8;1. ;;
MAA02.2;4;2.;;
MAA02.3;4;2.;;
