BI01.1;2;2.;;
BI01.2;5;2.;;
BI01.3;5;3.;;
BI01.4;5;4.;;
BI02.1;1;1.;;
BI02.2;3;1.;;
BI02.3;1;5.;;
BI02.4;2;5.;;
BI03.1;5;2.;;
BI03.2;4;2.;;
BI03.3;1;3.;;
BI04.1;3;3.;;
BI04.2;2;4.;;
BI04.3;4;4.;;
BI05.1;2;3.;;
BI05.2;4;5.;;
BI05.3;3;5.;;
BI06.1;7;5.;;
BI11.1;3;1.;;
BI11.2;1;1.;;
BI13.1;7;1.;;
EAB31.1;6;3.;;
EAB32.1;2;4.;;
EAB33.1;7;5.;;
EAB36.1;4;1.;;
EAB38.1;5;2.;;
EAB39.1;2;3.;;
ENA01.1;3;1.;;
ENA01.2;3;1.;;
ENA01.3;1;2.;;
ENA01.4;1;2.;;
ENA02.1;2;3.;;
ENA02.2;2;3.;;
ENA02.3;4;4.;;
ENA02.4;6;4.;;
ENA03.1;2;4.;;
ENA03.2;3;4.;;
ENA03.3;4;5.;;
ENA03.4;5;5.;;
ENA04.1;1;2.;;
ENA04.2;2;2.;;
ENA04.3;3;2.;;
ENA04.4;4;2.;;
ENA05.1;1;3.;;
ENA05.2;2;3.;;
ENA05.3;3;3.;;
ENA05.4;4;3.;;
ENA06.1;1;4.;;
ENA06.2;4;4.;;
ENA06.3;5;4.;;
ENA06.4;6;4.;;
ENA07.1;2;5.;;
ENA07.2;4;5.;;
ENA07.3;5;5.;;
ENA08.1;6;1.;;
ENA08.2;2;2.;;
ENA08.3;3;3.;;
ENA08.4;2;5.;;
ENA09.1;2;1.;;
ENA09.2;7;1.;;
ENA11.1;1;1.;;
ENA11.2;4;1.;;
ENA11.3;6;1.;;
ENA11.4;7;3.;;
ESA01.1;5;3.;;
ESA02.1;5;4.;;
ESA03.1;5;5.;;
ESA04.1;4;1.;;
ESA05.1;5;2.;;
ESA07.1;5;1.;;
ESA08.1;3;2.;;
ESA09.1;2;3.;;
ET01.1;7;2.;;
ET02.1;;;;
FI01.1;4;2.;;
FI01.2;5;3.;;
FI01.3;1;4.;;
FI01.4;2;5.;;
FI02.1;5;2.;;
FI02.2;6;3.;;
FI02.3;6;4.;;
