RUB15.3;4;4.;;
RUB16.1;2;5.;;
RUB17.1;2;1.;;
RUB17.2;6;2;;
RUB18.1;4;1.;;
RUB18.2;3;3.;;
SAA01.1;5;3.;;
SAA02.1;5;4.;;
SAA03.1;5;5.;;
SAA09.1;3;3.;;
SAB31.1;6;3.;;
SAB32.1;2;4.;;
SAB33.1;7;5.;;
SAB34.1;7;1.;;
SAB35.1;7;3.;;
SAB36.1;4;5.;;
SAB37.1;6;1.;;
SAB38.1;1;2;;
SAB39.1;3;3.;;
TE01.1;1;1.;;
TE01.2;1;1.;;
TE01.3;1;1.;;
TE01.4;2;1.;;
TE02.1;1;1.;;
TE02.2;7;5.;;
TE03.1;7;2;;
TE04.1;1;3.;;
TE05.1;6;5.;;
UE01.1;7;1.;;
UE01.2;6;3.;;
UE01.3;1;4.;;
UE01.4;1;5.;;
UE02.1;3;1.;;
UE02.2;7;3.;;
UE02.3;3;4.;;
UE02.4;5;5.;;
UE03.1;4;3.;;
UE03.2;2;3.;;
UO02.1;8;5.;;
YH01.1;4;1.;;
YH01.2;1;3.;;
YH01.3;1;4.;;
YH01.4;4;5.;;
YH02.1;5;2;;
YH02.2;1;3.;;
YH02.3;3;4.;;
YH02.4;5;5.;;
YH03.1;3;1.;;
YH03.2;1;2;;
YH03.3;3;3.;;
YH03.4;1;5.;;
YH04.1;1;1.;;
YH04.2;3;4.;;
YH04.3;4;5.;;
YH7.1;7;4.;;
YH9.1;7;1.;;
YH9.2;2;3.;;
AI01.1;2;1.;;
AI01.2;2;1.;;
AI01.3;2;1.;;
AI01.4;6;1.;;
AI02.1;2;2;;
AI02.2;2;2;;
AI02.3;4;3.;;
AI02.4;6;3.;;
AI03.1;6;4.;;
AI03.2;2;4.;;
AI03.3;7;5.;;
AI03.4;6;5.;;
AI04.1;4;1.;;
AI04.2;6;1.;;
AI04.3;3;2;;
AI04.4;5;2;;
AI05.1;1;4.;;
AI05.2;2;4.;;
AI05.3;3;4.;;
AI05.4;5;4.;;
AI06.1;2;5.;;
AI06.2;4;5.;;
AI06.3;6;5.;;
AI06.4;7;5.;;
AI07.1;3;3.;;
AI08.1;1;2;;
AI08.2;3;2;;
AI08.3;4;2;;
AI08.4;6;2;;
AI09.1;1;3.;;
AI09.2;3;3.;;
AI09.3;4;3.;;
AI09.4;6;3.;;
AI12.1;;;;
;;;;
Yhteensa:;;;;
